Statistical profiling result from isolate-0x103000c00-v8.log, (5362 ticks, 650 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: ~addHeaderLine /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/base/utils.js:39:47
      2    0.0%    0.0%  LazyCompile: ~_initArray /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/bn.js/lib/bn.js:143:49
      2    0.0%    0.0%  LazyCompile: ~Buffer.write buffer.js:712:34
      2    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/spdy/parser.js:295:52
      2    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/base/parser.js:59:30
      2    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/throughs/map.js:10:21
      2    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream/throughs/async-map.js:23:29
      2    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-length-prefixed/lib/encode.js:23:21
      2    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-length-prefixed/lib/decode.js:25:47
      2    0.0%    0.0%  LazyCompile: ~<anonymous> /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/async/internal/once.js:8:21
      2    0.0%    0.0%  LazyCompile: *writeUInt32BE /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/wbuf/index.js:276:54
      2    0.0%    0.0%  LazyCompile: *write /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/wbuf/index.js:171:38
      2    0.0%    0.0%  LazyCompile: *update /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/window.js:54:40
      2    0.0%    0.0%  LazyCompile: *tryReadSync fs.js:452:21
      2    0.0%    0.0%  LazyCompile: *take /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/obuf/index.js:129:44
      2    0.0%    0.0%  LazyCompile: *slice buffer.js:814:40
      2    0.0%    0.0%  LazyCompile: *schedule /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/spdy-transport/lib/spdy-transport/protocol/base/scheduler.js:58:49
      2    0.0%    0.0%  LazyCompile: *s.write /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/pull-stream-to-stream/index.js:30:22
      2    0.0%    0.0%  LazyCompile: *readUInt24BE /Users/dignifiedquire/opensource/ipfs/js-ipfs-lerna/packages/js-ipfs-bitswap/node_modules/obuf/index.js:321:60
